id,category,category,category,category,category
212,math,math,math,math,math
213,cs,cs,cs,cs,cs
214,math,math,math,math,math
215,math,math,math,math,math
216,physics,physics,physics,physics,physics
217,cs,cs,cs,cs,cs
218,physics,physics,physics,physics,physics
219,cs,cs,stat,cs,cs
220,cs,cs,stat,cs,cs
221,math,math,math,math,math
222,physics,physics,cs,math,physics
223,math,math,math,math,math
224,cs,cs,cs,cs,cs
225,math,math,math,math,math
226,math,math,math,math,math
227,math,math,math,math,math
228,math,math,math,math,math
229,physics,physics,physics,physics,physics
230,cs,cs,cs,cs,cs
231,math,math,math,math,math
232,cs,cs,cs,cs,cs
233,math,math,math,math,math
234,stat,cs,cs,cs,stat
235,physics,physics,physics,physics,physics
236,physics,cs,stat,cs,physics
237,cs,cs,stat,cs,cs
238,physics,physics,physics,physics,physics
239,math,math,math,math,math
240,stat,stat,stat,stat,stat
241,physics,physics,physics,physics,physics
242,physics,physics,physics,physics,physics
243,math,math,math,math,math
244,stat,stat,stat,stat,stat
245,physics,physics,physics,physics,physics
246,cs,stat,stat,cs,cs
247,math,math,math,math,math
248,stat,math,math,math,math
249,physics,physics,physics,physics,physics
250,physics,physics,stat,physics,physics
251,cs,cs,cs,cs,cs
252,physics,physics,math,math,physics
253,cs,cs,cs,cs,cs
254,cs,cs,cs,cs,cs
255,math,math,math,math,math
256,cs,cs,cs,cs,cs
257,physics,physics,physics,physics,physics
258,cs,cs,cs,cs,cs
259,cs,cs,cs,cs,cs
260,math,math,math,math,math
261,physics,physics,physics,physics,physics
262,math,math,math,math,math
263,physics,physics,physics,physics,physics
264,math,math,math,math,math
265,physics,physics,physics,physics,physics
266,math,math,math,math,math
267,math,math,math,math,math
268,physics,physics,math,physics,physics
269,physics,physics,physics,physics,physics
270,stat,stat,stat,stat,stat
271,stat,stat,stat,stat,stat
272,physics,physics,physics,physics,physics
273,cs,cs,cs,cs,cs
274,cs,cs,cs,cs,cs
275,cs,cs,cs,physics,cs
276,stat,math,stat,math,stat
277,stat,cs,stat,cs,cs
278,stat,stat,stat,stat,stat
279,math,math,math,math,math
280,physics,physics,physics,physics,physics
281,stat,stat,stat,stat,stat
282,cs,cs,cs,cs,cs
283,math,math,math,math,math
284,physics,cs,stat,cs,physics
285,math,math,math,math,math
286,physics,physics,physics,physics,physics
287,physics,physics,stat,physics,physics
288,cs,cs,cs,stat,cs
289,cs,physics,physics,physics,physics
290,math,math,math,math,math
291,physics,physics,physics,physics,physics
292,math,math,math,math,math
293,physics,physics,physics,physics,physics
294,math,math,math,math,math
295,cs,cs,cs,cs,cs
296,stat,stat,stat,stat,stat
297,math,math,math,math,math
298,stat,cs,stat,cs,stat
299,math,math,math,math,math
300,cs,cs,stat,cs,cs
301,physics,physics,physics,physics,physics
302,physics,math,math,physics,math
303,cs,cs,cs,cs,cs
304,math,math,math,math,math
305,math,math,math,math,math
306,physics,physics,physics,physics,physics
307,math,math,math,math,math
308,cs,cs,cs,cs,cs
309,math,math,math,math,math
310,math,math,math,math,math
311,stat,math,math,math,math
312,physics,physics,physics,physics,physics
313,math,math,math,math,math
314,math,math,math,math,math
315,math,math,math,math,math
316,stat,stat,stat,stat,stat
317,physics,physics,physics,physics,physics
318,math,math,math,math,math
319,math,math,math,math,math
320,cs,physics,physics,physics,physics
321,physics,physics,physics,physics,physics
322,stat,stat,stat,stat,stat
323,cs,cs,cs,cs,cs
324,cs,cs,cs,cs,cs
325,physics,physics,physics,physics,physics
326,math,math,math,math,math
327,stat,stat,stat,cs,stat
328,physics,physics,physics,physics,physics
329,cs,cs,cs,cs,cs
330,stat,stat,stat,stat,stat
331,cs,cs,cs,cs,cs
332,physics,physics,physics,physics,physics
333,math,math,math,math,math
334,cs,cs,cs,cs,cs
335,math,math,math,math,math
336,stat,cs,stat,cs,cs
337,stat,stat,stat,stat,stat
338,math,math,math,math,math
339,physics,physics,math,physics,physics
340,cs,stat,stat,stat,cs
341,stat,stat,stat,stat,stat
342,cs,math,stat,stat,math
343,cs,cs,cs,cs,cs
344,cs,cs,cs,cs,cs
345,cs,cs,cs,cs,cs
346,physics,physics,physics,physics,physics
347,stat,stat,stat,stat,stat
348,math,math,math,math,math
349,math,math,math,math,math
350,cs,cs,cs,physics,cs
351,stat,cs,stat,stat,stat
352,cs,cs,cs,cs,cs
353,stat,cs,cs,cs,cs
354,physics,physics,physics,physics,physics
355,cs,cs,cs,cs,cs
356,math,cs,cs,math,cs
357,stat,stat,stat,stat,stat
358,physics,physics,physics,physics,physics
359,stat,stat,stat,stat,stat
360,cs,cs,cs,cs,cs
361,cs,cs,cs,cs,cs
362,math,math,math,math,math
363,stat,stat,stat,stat,stat
364,math,math,math,math,math
365,math,math,math,math,math
366,math,math,math,math,math
367,physics,physics,physics,physics,physics
368,stat,cs,stat,cs,stat
369,cs,cs,stat,cs,cs
370,stat,cs,cs,cs,stat
371,cs,cs,cs,stat,cs
372,cs,cs,cs,cs,cs
373,stat,cs,cs,cs,cs
374,physics,physics,physics,physics,physics
375,cs,cs,cs,cs,cs
376,math,math,math,math,math
377,physics,physics,physics,physics,physics
378,physics,physics,math,physics,physics
379,stat,stat,stat,stat,stat
380,physics,physics,physics,physics,physics
381,stat,math,math,math,math
382,cs,math,cs,cs,math
383,cs,cs,cs,cs,cs
384,cs,cs,cs,cs,cs
385,stat,cs,stat,stat,stat
386,physics,physics,physics,physics,physics
387,stat,stat,stat,stat,stat
388,math,math,math,math,math
389,cs,cs,cs,cs,cs
390,physics,physics,physics,physics,physics
391,math,math,math,math,math
392,physics,math,math,math,math
393,physics,physics,physics,physics,physics
394,physics,physics,math,physics,physics
395,math,math,math,math,math
396,cs,cs,stat,stat,stat
397,cs,cs,cs,cs,cs
398,cs,cs,cs,cs,cs
399,physics,physics,physics,physics,physics
400,math,math,math,physics,math
401,cs,cs,cs,cs,cs
402,math,math,math,math,math
403,cs,cs,cs,cs,cs
404,math,math,math,math,math
405,physics,physics,physics,physics,physics
406,math,math,math,math,math
407,math,math,math,math,math
408,math,math,math,math,math
409,math,math,math,math,math
410,physics,physics,physics,physics,physics
411,cs,cs,cs,cs,cs
412,math,math,math,math,math
413,math,cs,cs,math,math
414,stat,cs,cs,cs,cs
415,stat,stat,stat,stat,stat
416,cs,cs,cs,math,cs
417,physics,physics,physics,physics,physics
418,physics,physics,physics,physics,physics
419,stat,stat,stat,stat,stat
420,cs,cs,math,cs,cs
421,math,math,math,math,math
422,stat,stat,stat,stat,stat
423,stat,math,math,math,math
424,math,math,math,math,math
425,math,math,math,math,math
426,cs,cs,cs,cs,cs
427,cs,physics,physics,physics,cs
428,math,math,math,math,math
429,stat,cs,cs,cs,cs
430,cs,cs,cs,cs,cs
431,physics,physics,physics,physics,physics
432,math,math,math,math,math
433,stat,stat,stat,stat,stat
434,cs,cs,cs,cs,cs
435,cs,cs,cs,cs,cs
436,math,math,math,math,math
437,stat,stat,stat,stat,stat
438,math,math,math,math,math
439,physics,physics,physics,physics,physics
440,physics,physics,physics,physics,physics
441,cs,cs,cs,cs,cs
442,cs,cs,stat,cs,cs
443,stat,stat,stat,stat,stat
444,physics,physics,physics,physics,physics
445,stat,cs,stat,cs,cs
446,math,math,math,math,math
447,cs,cs,cs,cs,cs
448,stat,cs,stat,cs,cs
449,math,math,math,math,math
450,cs,cs,cs,cs,cs
451,math,math,math,math,math
452,cs,cs,cs,cs,cs
453,cs,cs,cs,cs,cs
454,physics,physics,physics,physics,physics
455,math,math,math,math,math
456,physics,cs,stat,cs,stat
457,math,math,math,math,math
458,math,cs,math,math,cs
459,stat,cs,stat,cs,stat
460,math,math,math,math,math
461,math,math,math,math,math
462,stat,stat,stat,stat,stat
463,cs,cs,cs,cs,cs
464,math,math,math,math,math
465,physics,physics,physics,physics,physics
466,math,math,math,math,math
467,cs,cs,cs,cs,cs
468,math,math,math,math,math
469,cs,cs,math,cs,cs
470,cs,cs,cs,cs,cs
471,cs,cs,stat,cs,cs
472,cs,cs,cs,cs,cs
473,physics,physics,physics,physics,physics
474,physics,physics,physics,physics,physics
475,physics,physics,physics,physics,physics
476,cs,cs,cs,cs,cs
477,cs,cs,cs,cs,cs
478,math,math,math,math,math
479,stat,stat,stat,stat,stat
480,stat,cs,stat,stat,stat
481,math,math,math,math,math
482,cs,cs,cs,cs,cs
483,cs,cs,cs,cs,cs
484,math,math,math,math,math
485,math,math,math,math,math
486,math,math,math,math,math
487,cs,cs,cs,cs,cs
488,cs,cs,cs,cs,cs
489,cs,cs,cs,cs,cs
490,physics,physics,physics,physics,physics
491,physics,physics,physics,physics,physics
492,math,math,math,math,math
493,stat,stat,stat,stat,stat
494,cs,cs,cs,cs,cs
495,cs,cs,cs,cs,cs
496,cs,cs,stat,stat,stat
497,cs,cs,cs,cs,cs
498,math,cs,cs,cs,cs
499,math,math,math,math,math
500,stat,stat,stat,stat,stat
501,stat,cs,stat,cs,stat
502,cs,stat,cs,cs,cs
503,cs,cs,stat,stat,cs
504,cs,cs,cs,cs,cs
505,cs,cs,cs,cs,cs
506,math,math,math,math,math
507,stat,physics,physics,physics,physics
508,cs,stat,stat,cs,cs
509,cs,cs,physics,cs,cs
510,math,math,math,math,math
511,cs,cs,cs,cs,cs
512,cs,cs,stat,stat,cs
513,cs,cs,stat,cs,stat
514,physics,physics,physics,physics,physics
515,physics,physics,math,math,physics
516,stat,stat,stat,stat,stat
517,stat,stat,stat,math,math
518,cs,cs,cs,cs,cs
519,stat,math,stat,stat,stat
520,cs,cs,cs,cs,cs
521,cs,cs,cs,cs,cs
522,physics,physics,physics,physics,physics
523,physics,physics,math,math,physics
524,math,math,math,math,math
525,stat,stat,stat,stat,stat
526,physics,physics,physics,physics,physics
527,math,math,math,math,math
528,cs,cs,cs,cs,cs
529,math,math,math,math,math
530,math,math,math,math,math
531,stat,stat,stat,cs,stat
532,cs,cs,cs,cs,cs
533,cs,cs,stat,stat,cs
534,math,math,math,math,math
535,stat,stat,stat,cs,stat
536,physics,physics,physics,physics,physics
537,stat,stat,stat,stat,stat
538,math,math,math,math,math
539,cs,stat,stat,stat,stat
540,math,math,math,math,math
541,stat,stat,stat,stat,stat
542,stat,stat,stat,stat,stat
543,cs,cs,cs,cs,cs
544,math,math,math,math,math
545,stat,stat,stat,stat,stat
546,physics,physics,physics,physics,physics
547,physics,physics,physics,physics,physics
548,physics,physics,physics,physics,physics
549,math,,math,math,math
550,math,,math,math,math
551,physics,,cs,cs,physics
552,cs,,cs,cs,cs
553,physics,,physics,physics,physics
554,physics,,physics,physics,physics
555,cs,,cs,cs,cs
556,math,,math,cs,cs
557,math,,cs,math,math
558,cs,,cs,cs,cs
559,cs,,cs,cs,cs
560,physics,,stat,cs,physics
561,stat,,cs,stat,stat
562,math,,math,math,math
563,cs,,cs,cs,cs
564,cs,,cs,cs,cs
565,math,,math,math,math
566,physics,,physics,physics,physics
567,math,,math,math,math
568,stat,,stat,stat,stat
569,math,,math,math,math
570,math,,math,math,math
571,math,,math,math,math
572,physics,,physics,physics,physics
573,physics,,physics,physics,physics
574,physics,,physics,physics,physics
575,math,,math,math,math
576,math,,math,math,math
577,physics,,physics,physics,physics
578,cs,,cs,cs,cs
579,math,,math,math,math
580,cs,,cs,cs,cs
581,math,,math,math,math
582,physics,,math,math,physics
583,math,,math,math,math
584,cs,,math,cs,cs
585,cs,,cs,cs,cs
586,cs,,cs,cs,cs
587,cs,,stat,cs,stat
588,math,,math,math,math
589,cs,,cs,cs,cs
590,cs,,cs,cs,cs
591,cs,,cs,cs,cs
592,math,,math,math,math
593,math,,math,math,math
594,physics,,physics,physics,physics
595,stat,,physics,physics,physics
596,cs,,cs,cs,cs
597,physics,,physics,physics,physics
598,physics,,physics,physics,physics
599,physics,,physics,physics,physics
600,cs,,cs,stat,cs
601,math,,math,math,math
602,math,,math,math,math
603,cs,,cs,cs,cs
604,math,,math,math,math
605,physics,,stat,stat,physics
606,stat,,physics,physics,stat
607,math,,math,math,math
608,math,,math,math,math
609,cs,,cs,cs,cs
610,math,,math,math,math
611,stat,,stat,cs,stat
612,cs,,cs,cs,cs
613,cs,,cs,physics,cs
614,math,,math,math,math
615,stat,,stat,stat,stat
616,math,,math,math,math
617,math,,math,math,math
618,physics,,physics,physics,physics
619,math,,cs,cs,cs
620,math,,math,math,math
621,physics,,physics,physics,physics
622,math,,math,math,math
623,math,,math,math,math
624,cs,,stat,stat,cs
625,physics,,physics,physics,physics
626,cs,,stat,cs,cs
627,physics,,physics,physics,physics
628,physics,,physics,physics,physics
629,stat,,stat,stat,stat
630,physics,,physics,physics,physics
631,physics,,physics,physics,physics
632,cs,,cs,cs,cs
633,physics,,physics,physics,physics
634,stat,,stat,stat,stat
635,cs,,math,math,cs
636,physics,,physics,physics,physics
637,physics,,physics,physics,physics
638,math,,math,math,math
639,math,,math,math,math
640,stat,,stat,stat,stat
641,physics,,physics,physics,physics
642,math,,stat,math,stat
643,math,,math,math,math
644,cs,,cs,cs,cs
645,cs,,cs,cs,cs
646,math,,math,math,math
647,math,,math,math,math
648,cs,,cs,cs,cs
649,stat,,stat,stat,stat
650,stat,,math,stat,stat
651,cs,,stat,stat,stat
652,math,,math,math,math
653,cs,,cs,cs,cs
654,cs,,cs,cs,cs
655,cs,,cs,cs,cs
656,math,,math,math,math
657,cs,,cs,cs,cs
658,stat,,stat,stat,stat
659,cs,,cs,cs,cs
660,stat,,stat,stat,stat
661,math,,math,math,math
662,physics,,physics,physics,physics
663,cs,,stat,stat,cs
664,stat,,stat,math,stat
665,stat,,stat,cs,stat
666,math,,math,math,math
667,stat,,stat,stat,stat
668,physics,,physics,physics,physics
669,math,,math,math,math
670,stat,,stat,stat,stat
671,math,,math,math,math
672,cs,,stat,cs,cs
673,math,,math,math,math
674,cs,,cs,cs,cs
675,stat,,stat,stat,stat
676,math,,math,math,math
677,physics,,physics,physics,physics
678,math,,math,math,math
679,math,,math,math,math
680,cs,,math,math,cs
681,cs,,cs,cs,cs
682,cs,,cs,cs,cs
683,math,,math,math,math
684,physics,,physics,physics,physics
685,cs,,cs,cs,cs
686,math,,math,math,math
687,stat,,cs,cs,stat
688,math,,math,math,math
689,physics,,physics,physics,physics
690,stat,,stat,cs,stat
691,math,,math,math,math
692,physics,,physics,physics,physics
693,cs,,stat,cs,cs
694,math,,math,math,math
695,physics,,physics,physics,physics
696,cs,,cs,cs,cs
697,stat,,stat,stat,stat
698,cs,,cs,cs,cs
699,math,,math,math,math
700,math,,math,math,math
701,stat,,stat,stat,stat
702,cs,,cs,cs,cs
703,physics,,stat,physics,physics
704,cs,,cs,cs,cs
705,cs,,stat,stat,stat
706,stat,,cs,cs,cs
707,physics,,physics,physics,physics
708,cs,,cs,cs,cs
709,stat,,stat,cs,stat
710,cs,,cs,cs,cs
711,physics,,physics,physics,physics
712,math,,math,math,math
713,stat,,stat,physics,stat
714,math,,math,math,math
715,math,,math,math,math
716,math,,math,math,math
717,cs,,cs,cs,cs
718,cs,,cs,cs,cs
719,stat,,stat,stat,stat
720,math,,math,math,math
721,cs,,cs,cs,cs
722,cs,,stat,cs,stat
723,stat,,stat,math,stat
724,physics,,physics,physics,physics
725,math,,math,math,math
726,physics,,physics,physics,physics
727,cs,,cs,cs,cs
728,stat,,stat,stat,stat
729,math,,math,math,math
730,stat,,stat,stat,cs
731,math,,math,math,math
732,cs,,cs,cs,cs
733,math,,math,math,math
734,stat,,stat,stat,stat
735,physics,,physics,physics,physics
736,cs,,stat,cs,cs
737,physics,,stat,physics,physics
738,math,,cs,cs,math
739,physics,,physics,physics,physics
740,stat,,stat,stat,stat
741,math,,math,math,math
742,physics,,physics,physics,physics
743,cs,,cs,cs,cs
744,physics,,physics,physics,physics
745,physics,,physics,physics,physics
746,cs,,cs,cs,cs
747,cs,,cs,cs,cs
748,math,,math,math,math
749,math,,math,math,math
750,stat,,stat,stat,stat
751,physics,,stat,cs,cs
752,cs,,cs,cs,cs
753,cs,,cs,cs,cs
754,physics,,math,physics,physics
755,cs,,cs,cs,cs
756,math,,math,math,math
757,math,,math,math,math
758,math,,math,math,math
759,math,,math,math,math
760,math,,math,math,math
761,stat,,math,math,math
762,cs,,cs,cs,cs
763,cs,,cs,math,cs
764,physics,,stat,physics,physics
765,cs,,cs,cs,cs
766,math,,math,math,math
767,physics,,physics,physics,physics
768,physics,,physics,physics,physics
769,stat,,stat,stat,stat
770,stat,,stat,math,stat
771,cs,,cs,cs,cs
772,cs,,cs,cs,cs
773,physics,,physics,physics,physics
774,physics,,physics,physics,physics
775,cs,,cs,cs,cs
776,physics,,physics,physics,physics
777,stat,,stat,stat,stat
778,cs,,cs,cs,cs
779,cs,,cs,cs,cs
780,cs,,math,cs,cs
781,stat,,stat,stat,stat
782,physics,,stat,cs,cs
783,stat,,stat,cs,stat
784,cs,,math,cs,cs
785,stat,,stat,stat,stat
786,cs,,stat,cs,cs
787,math,,math,math,math
788,physics,,physics,physics,physics
789,physics,,stat,physics,stat
790,cs,,cs,cs,cs
791,cs,,cs,cs,cs
792,math,,math,math,math
793,math,,math,math,math
794,cs,,cs,cs,cs
795,physics,,physics,physics,physics
796,physics,,physics,physics,physics
797,stat,,stat,stat,stat
798,physics,,physics,physics,physics
799,stat,,stat,stat,stat
800,math,,math,math,math
801,stat,,cs,cs,cs
802,physics,,stat,cs,cs
803,cs,,cs,cs,cs
804,cs,,cs,cs,cs
805,cs,,cs,cs,cs
806,cs,,cs,cs,cs
807,cs,,math,cs,math
808,cs,,cs,cs,cs
809,cs,,cs,cs,cs
810,physics,,stat,physics,physics
811,cs,,cs,cs,cs
812,math,,math,math,math
813,math,,math,math,math
814,math,,math,math,math
815,cs,,math,cs,cs
816,math,,math,math,math
817,math,,math,math,math
818,math,,cs,cs,math
819,cs,,cs,cs,cs
820,math,,math,math,math
821,stat,,stat,stat,stat
822,stat,,stat,cs,stat
823,physics,,physics,physics,physics
824,cs,,cs,cs,cs
825,physics,,physics,physics,physics
826,physics,,physics,physics,physics
827,math,,math,math,math
828,physics,,physics,physics,physics
829,math,,math,math,math
830,stat,,cs,cs,stat
831,math,,cs,math,math
832,stat,,cs,cs,cs
833,math,,math,math,math
834,cs,,stat,cs,cs
835,math,,math,math,math
836,cs,,cs,cs,cs
837,cs,,cs,cs,cs
838,cs,,cs,cs,cs
839,math,,cs,cs,stat
840,physics,,stat,stat,physics
841,stat,,stat,stat,stat
842,physics,,physics,physics,physics
843,math,,math,math,math
844,physics,,physics,physics,physics
845,cs,,cs,cs,cs
846,cs,,cs,cs,cs
847,stat,,cs,stat,cs
848,cs,,cs,cs,cs
849,cs,,cs,cs,cs
850,cs,,cs,cs,cs
851,math,,math,math,math
852,math,,math,math,math
853,cs,,cs,cs,cs
854,stat,,stat,stat,stat
855,math,,math,math,math
856,math,,math,math,math
857,stat,,stat,stat,stat
858,math,,math,math,math
859,physics,,physics,physics,physics
860,math,,math,math,math
861,math,,math,math,math
862,physics,,cs,cs,physics
863,cs,,cs,cs,cs
864,cs,,cs,cs,cs
865,stat,,stat,physics,stat
866,stat,,stat,stat,stat
867,cs,,cs,cs,cs
868,stat,,stat,cs,stat
869,math,,math,math,math
870,math,,math,cs,cs
871,math,,math,math,math
872,stat,,stat,cs,stat
873,cs,,cs,cs,cs
874,stat,,stat,cs,cs
875,cs,,cs,cs,cs
876,math,,math,math,math
877,math,,math,math,math
878,math,,math,math,math
879,math,,math,math,math
880,math,,math,math,math
881,cs,,cs,cs,cs
882,math,,math,math,math
883,stat,,stat,stat,stat
884,cs,,cs,math,cs
885,physics,,physics,physics,physics
886,cs,,cs,cs,cs
887,cs,,cs,cs,cs
888,math,,math,math,math
889,stat,,stat,cs,stat
890,stat,,stat,stat,stat
891,cs,,stat,cs,cs
892,cs,,cs,cs,physics
893,cs,,stat,cs,cs
894,cs,,cs,cs,cs
895,cs,,math,cs,cs
896,cs,,stat,cs,cs
897,stat,,stat,math,stat
898,cs,,cs,cs,cs
899,stat,,stat,stat,stat
900,physics,,physics,physics,physics
901,math,,math,math,math
902,math,,math,math,math
903,stat,,stat,cs,stat
904,physics,,physics,physics,physics
905,math,,math,math,math
906,stat,,stat,stat,stat
907,stat,,stat,stat,stat
908,cs,,cs,cs,cs
909,cs,,cs,cs,cs
910,physics,,physics,physics,physics
911,math,,math,math,math
912,math,,math,math,math
913,math,,math,math,math
914,physics,,physics,physics,physics
915,math,,math,math,math
916,math,,math,math,math
917,math,,math,math,math
918,cs,,stat,stat,cs
919,math,,math,math,math
920,cs,,cs,cs,cs
921,cs,,cs,cs,cs
922,physics,,physics,physics,physics
923,physics,,physics,physics,physics
924,math,,math,math,math
925,stat,,stat,cs,stat
926,math,,math,math,math
927,stat,,stat,cs,cs
928,physics,,stat,stat,physics
929,cs,,cs,cs,cs
930,math,,math,math,math
931,stat,,stat,cs,stat
932,math,,math,math,math
933,cs,,cs,cs,cs
934,math,,math,math,math
935,math,,math,math,math
936,physics,,physics,physics,physics
937,math,,math,math,math
938,math,,math,math,math
939,math,,math,math,math
940,stat,,cs,cs,cs
941,stat,,stat,cs,stat
942,math,,cs,cs,math
943,physics,,physics,physics,physics
944,cs,,stat,cs,cs
945,stat,,cs,cs,stat
946,physics,,physics,physics,physics
947,cs,,cs,cs,cs
948,stat,,stat,stat,stat
949,physics,,physics,physics,physics
